Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,1,Max Verstappen,VER,Red Bull Racing RBPT,1:19.295,1:18.793,1:27.999,22
2,16,Charles Leclerc,LEC,Ferrari,1:18.796,1:19.584,1:28.778,22
3,4,Lando Norris,NOR,McLaren Mercedes,1:20.168,1:19.294,1:29.131,22
4,20,Kevin Magnussen,MAG,Haas Ferrari,1:20.147,1:19.902,1:29.164,21
5,14,Fernando Alonso,ALO,Alpine Renault,1:20.198,1:19.595,1:29.202,26
6,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:19.980,1:20.031,1:29.742,21
7,11,Sergio Perez,PER,Red Bull Racing RBPT,1:19.773,1:19.296,1:29.808,25
8,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,1:20.419,1:20.192,1:30.439,23
9,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,1:20.364,1:19.957,1:31.062,25
10,55,Carlos Sainz,SAI,Ferrari,1:19.305,1:18.990,DNQ,13
11,63,George Russell,RUS,Mercedes,1:20.383,1:20.757,DNQ,16
12,47,Mick Schumacher,MSC,Haas Ferrari,1:20.422,1:20.916,DNQ,16
13,44,Lewis Hamilton,HAM,Mercedes,1:20.470,1:21.138,DNQ,15
14,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,1:19.730,1:21.434,DNQ,16
15,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,1:20.342,1:28.119,DNQ,14
16,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,1:20.474,DNQ,DNQ,11
17,10,Pierre Gasly,GAS,AlphaTauri RBPT,1:20.732,DNQ,DNQ,11
18,6,Nicholas Latifi,LAT,Williams Mercedes,1:21.971,DNQ,DNQ,13
19,31,Esteban Ocon,OCO,Alpine Renault,1:22.338,DNQ,DNQ,9
NC,23,Alexander Albon,ALB,Williams Mercedes,DNF,DNQ,DNQ,3
