Position,Driver Number,Driver,Driver Abbreviation,Car,Q1,Q2,Q3,Laps
1,16,Charles Leclerc,LEC,Ferrari,1:29.474,1:29.130,1:28.796,25
2,55,Carlos Sainz,SAI,Ferrari,1:30.079,1:29.729,1:28.986,26
3,1,Max Verstappen,VER,Red Bull Racing RBPT,1:29.836,1:29.202,1:28.991,18
4,11,Sergio Perez,PER,Red Bull Racing RBPT,1:30.055,1:29.673,1:29.036,21
5,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,1:30.845,1:29.751,1:29.475,20
6,44,Lewis Hamilton,HAM,Mercedes,1:30.388,1:29.797,1:29.625,21
7,10,Pierre Gasly,GAS,AlphaTauri RBPT,1:30.779,1:30.128,1:29.690,22
8,4,Lando Norris,NOR,McLaren Mercedes,1:30.761,1:29.634,1:29.750,22
9,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,1:30.485,1:30.031,1:29.932,21
10,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,1:30.441,1:29.996,1:30.676,21
11,14,Fernando Alonso,ALO,Alpine Renault,1:30.407,1:30.160,DNQ,14
12,63,George Russell,RUS,Mercedes,1:30.490,1:30.173,DNQ,15
13,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,1:30.677,1:30.214,DNQ,15
14,3,Daniel Ricciardo,RIC,McLaren Mercedes,1:30.583,1:30.310,DNQ,15
15,47,Mick Schumacher,MSC,Haas Ferrari,1:30.645,1:30.423,DNQ,19
16,20,Kevin Magnussen,MAG,Haas Ferrari,1:30.975,DNQ,DNQ,11
17,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,1:31.020,DNQ,DNQ,9
18,23,Alexander Albon,ALB,Williams Mercedes,1:31.266,DNQ,DNQ,10
19,6,Nicholas Latifi,LAT,Williams Mercedes,1:31.325,DNQ,DNQ,10
