Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,16,Charles Leclerc,LEC,Ferrari,58,1:27:46.548,26
2,11,Sergio Perez,PER,Red Bull Racing RBPT,58,+20.524s,18
3,63,George Russell,RUS,Mercedes,58,+25.593s,15
4,44,Lewis Hamilton,HAM,Mercedes,58,+28.543s,12
5,4,Lando Norris,NOR,McLaren Mercedes,58,+53.303s,10
6,3,Daniel Ricciardo,RIC,McLaren Mercedes,58,+53.737s,8
7,31,Esteban Ocon,OCO,Alpine Renault,58,+61.683s,6
8,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,58,+68.439s,4
9,10,Pierre Gasly,GAS,AlphaTauri RBPT,58,+76.221s,2
10,23,Alexander Albon,ALB,Williams Mercedes,58,+79.382s,1
11,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,58,+81.695s,0
12,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,58,+88.598s,0
13,47,Mick Schumacher,MSC,Haas Ferrari,57,+1 lap,0
14,20,Kevin Magnussen,MAG,Haas Ferrari,57,+1 lap,0
15,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,57,+1 lap,0
16,6,Nicholas Latifi,LAT,Williams Mercedes,57,+1 lap,0
17,14,Fernando Alonso,ALO,Alpine Renault,57,+1 lap,0
NC,1,Max Verstappen,VER,Red Bull Racing RBPT,38,DNF,0
NC,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,22,DNF,0
NC,55,Carlos Sainz,SAI,Ferrari,1,DNF,0
