Position,Driver Number,Driver,Driver Abbreviation,Car,Laps,Time/Retired,Points
1,1,Max Verstappen,VER,Red Bull Racing RBPT,57,1:34:24.258,26
2,16,Charles Leclerc,LEC,Ferrari,57,+3.786s,18
3,55,Carlos Sainz,SAI,Ferrari,57,+8.229s,15
4,11,Sergio Perez,PER,Red Bull Racing RBPT,57,+10.638s,12
5,63,George Russell,RUS,Mercedes,57,+18.582s,10
6,44,Lewis Hamilton,HAM,Mercedes,57,+21.368s,8
7,77,Valtteri Bottas,BOT,Alfa Romeo Ferrari,57,+25.073s,6
8,31,Esteban Ocon,OCO,Alpine Renault,57,+28.386s,4
9,23,Alexander Albon,ALB,Williams Mercedes,57,+32.365s,2
10,18,Lance Stroll,STR,Aston Martin Aramco Mercedes,57,+37.026s,1
11,14,Fernando Alonso,ALO,Alpine Renault,57,+37.128s,0
12,22,Yuki Tsunoda,TSU,AlphaTauri RBPT,57,+40.146s,0
13,3,Daniel Ricciardo,RIC,McLaren Mercedes,57,+40.902s,0
14,6,Nicholas Latifi,LAT,Williams Mercedes,57,+49.936s,0
15,47,Mick Schumacher,MSC,Haas Ferrari,57,+73.305s,0
16,20,Kevin Magnussen,MAG,Haas Ferrari,56,DNF,0
17,5,Sebastian Vettel,VET,Aston Martin Aramco Mercedes,54,DNF,0
NC,10,Pierre Gasly,GAS,AlphaTauri RBPT,45,DNF,0
NC,4,Lando Norris,NOR,McLaren Mercedes,39,DNF,0
NC,24,Zhou Guanyu,ZHO,Alfa Romeo Ferrari,6,DNF,0
