Position,Driver,Nationality,Constructor,Points
1,Jackie Stewart,GBR,TYRRELL FORD,62
2,Ronnie Peterson,SWE,NULL,33
3,Francois Cevert,FRA,TYRRELL FORD,26
4,Jacky Ickx,BEL,FERRARI,19
4,Jo Siffert,SUI,BRM,19
6,Emerson Fittipaldi,BRA,LOTUS FORD,16
7,Clay Regazzoni,SUI,FERRARI,13
8,Mario Andretti,USA,FERRARI,12
9,Peter Gethin,GBR,BRM,9
9,Pedro Rodriguez,MEX,BRM,9
9,Chris Amon,NZL,MATRA,9
9,Reine Wisell,SWE,LOTUS FORD,9
9,Denny Hulme,NZL,MCLAREN FORD,9
14,Tim Schenken,AUS,BRABHAM FORD,5
14,Howden Ganley,NZL,BRM,5
16,Mark Donohue,USA,NULL,4
16,Henri Pescarolo,FRA,NULL,4
18,Mike Hailwood,GBR,SURTEES FORD,3
18,John Surtees,GBR,SURTEES FORD,3
18,Rolf Stommelen,GER,SURTEES FORD,3
21,Graham Hill,GBR,BRABHAM FORD,2
22,Jean-Pierre Beltoise,FRA,MATRA,1
